PARENT_LEVEL_1_ID,PARENT_LEVEL_1_NAME,PARENT_LEVEL_2_ID,PARENT_LEVEL_2_NAME,PARENT_LEVEL_3_ID,PARENT_LEVEL_3_NAME,PARENT_LEVEL_4_ID,PARENT_LEVEL_4_NAME,PARENT_LEVEL_5_ID,PARENT_LEVEL_5_NAME,PARENT_LEVEL_6_ID,PARENT_LEVEL_6_NAME,PARENT_LEVEL_7_ID,PARENT_LEVEL_7_NAME
zmSNCYjqQGj,BURKINA FASO,QbUydxr5PH1,NORD,Jj9lsMa30yW,ZONDOMA,mkpbDrWZr0p,DS GOURCY,rXMgnEjXa1A,BASSI,,,,
zmSNCYjqQGj,BURKINA FASO,t8cSsU8HYBT,SUD OUEST,Y9HhG5PCXia,NOUMBIEL,Lp2BjBVT63s,DS BATIE,jIWhcMilFFr,BATIE,,,,
zmSNCYjqQGj,BURKINA FASO,uaydHJWFFCV,CENTRE SUD,ZA9rEp0WLMT,BAZEGA,,,,,,,,
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,j6c8XvNzJKc,BOULGOU,QyuBzsj7V8W,DS GARANGO,gHaKD4egmZF,BEGUEDO,,,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,f3XkEVaaPse,TUY,c6L1agxAp4X,DS HOUNDE,Z17QCXJiQmh,BEKUY,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,VfuI1E54hNc,DI,Addqn3cFNxX,CSPS DI,SoWrOJozwi2,BENKADI
zmSNCYjqQGj,BURKINA FASO,uaydHJWFFCV,CENTRE SUD,zzyCvOfoUxD,ZOUNDWEOGO,YBuV59UFmlo,DS MANGA,ZOHgwjunvkn,BERE,,,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,f3XkEVaaPse,TUY,c6L1agxAp4X,DS HOUNDE,uaRzWGEy58a,BEREBA,,,,
zmSNCYjqQGj,BURKINA FASO,NMTk6usvgPW,CASCADES,QcuhTXnsRZ7,COMOE,mPenE8ZIBFC,DS BANFORA,CUElOOpvujt,BEREGADOUGOU,,,,
zmSNCYjqQGj,BURKINA FASO,TMFuUYJyGPX,CENTRE OUEST,TrAcgnjKVkr,SISSILI,ZHIYGgqyB19,DS LEO,jXlmcH4zYyv,LEO,NEDD1LdpXdO,BHM BOURA,,
