ADM1,ADM2,ADM1_ID,ADM2_ID,"Adjusted incidence 2","Adjusted incidence 3","Adjusted incidence 1","Crude incidence",PFPR_U5_MAP,PFPR_U5_MIS,U5_MORTALITY,U5_DEATHS_MEAN,U5_MORTALITY_MIS,U5_MORTALITY_IHME,ADM2_POP
EST,DS GAYERI,mNbmpbo6Oh3,MTzNY5OcfWh,563,866.5,563,563,37.6,27,14.59,842.12156859707,60,133.6,110760
EST,DS MANNI,mNbmpbo6Oh3,GsO7Z0MHB8w,819,1260,819,361.5,33,27,14.86,1297.79260039794,60,133.6,273339
EST,DS PAMA,mNbmpbo6Oh3,G05U0l5DwAi,983.5,1512.5,983.5,258.5,38.4,27,12.7,732.739980141143,60,133.6,125188
SUD OUEST,DS BATIE,t8cSsU8HYBT,Lp2BjBVT63s,986,1583.5,986,984.5,40.7,15,12.11,536.466418169961,112,125.9,112968
SUD OUEST,DS DANO,t8cSsU8HYBT,C6EBhE8OnfW,679.5,1090.5,678.5,636,31.7,15,11.18,1215.59191999749,112,125.9,302634
SUD OUEST,DS DIEBOUGOU,t8cSsU8HYBT,ivXvxtoiVQX,703,1128,701,701,39.3,15,12.65,717.379391269534,112,125.9,177606
SUD OUEST,DS GAOUA,t8cSsU8HYBT,LiwtEFCSSIT,758.5,1217.5,758.5,733.5,34.8,15,12.22,1071.97529028099,112,125.9,272820
SUD OUEST,DS KAMPTI,t8cSsU8HYBT,b8vL2q1vjD5,699,1122,699,699,33.1,15,13.04,821.022401864121,112,125.9,133640
CENTRE SUD,DS KOMBISSIRI,uaydHJWFFCV,c6tSFIAr5wl,946,1299,944,820.5,29.1,15,8.97,770.910731897398,52,89.1,202008
CENTRE SUD,DS MANGA,uaydHJWFFCV,YBuV59UFmlo,851.5,1169,850.5,696.5,28.7,15,8.97,1225.89100569407,52,89.1,349793
CENTRE SUD,DS PO,uaydHJWFFCV,TTdoICj6qbX,591,811,591,590.5,31.3,15,8.58,944.986969556694,52,89.1,218839
CENTRE SUD,DS SAPONE,uaydHJWFFCV,l1BXyOvdTpo,622,854,622,618,28,15,9,424.158925302289,52,89.1,108821
HAUTS BASSINS,DS DAFRA,x35OtBOWemw,E0hd8TD1M0q,2300,3593.5,2300,290,22.2,7.000000000000001,11.28,957.697209285473,61,105,503794
HAUTS BASSINS,DS DANDE,x35OtBOWemw,PCg4pLGmKSM,564.5,881.5,554,553,26.1,7.000000000000001,10.85,1136.06549357675,61,105,257785
HAUTS BASSINS,DS DO,x35OtBOWemw,DqVkgKRZz84,2101.5,3283,2101.5,310.5,15.6,7.000000000000001,11.6,2667.70991112391,61,105,770103
HAUTS BASSINS,DS HOUNDE,x35OtBOWemw,c6L1agxAp4X,620.5,970,616,587.5,26.1,7.000000000000001,10.95,1362.84734656934,61,105,377285
HAUTS BASSINS,DS KARANGASSO VIGUE,x35OtBOWemw,JHN0Dct4oJq,754.5,1178,754.5,700.5,34.3,7.000000000000001,12.21,496.056077275333,61,105,141199
HAUTS BASSINS,DS LENA,x35OtBOWemw,TGriPmnIAHt,539,842.5,539,539,25.9,7.000000000000001,10.97,340.03011049914,61,105,86118
HAUTS BASSINS,DS N DOROLA,x35OtBOWemw,jhyS6vGEQQm,394.5,616.5,385.5,385.5,22.7,7.000000000000001,12.65,1245.80281677602,61,105,172565
HAUTS BASSINS,DS ORODARA,x35OtBOWemw,fH9JeSQLQmL,450,703,447.5,447.5,24.1,7.000000000000001,13.19,961.652531236283,61,105,283424
