ADM1,ADM1_ID,ADM2,ADM2_ID,ADM2_POP,INCIDENCE_RR_MEDIAN,INCIDENCE_RR_TSR_MEDIAN,INCIDENCE_PRESUMED_MEDIAN,INCIDENCE_CRUDE_MEDIAN,PFPR_U5_MAP,PFPR_U5_MIS,PFPR_2TO10_MAP,U5_MORTALITY_MIS,U5_MORTALITY_IHME,MORBIDITY_RISK1,MORBIDITY_MORTALITY_RISK2,ITN_ACCESS_MAP,ITN_USE_MAP,ITN_USE_RATE_MAP,PROPORTION_SEASONAL_YEARS,ITN_ACCESS_SAMPLE_AVERAGE,ITN_ACCESS_CI_LOWER_BOUND,ITN_ACCESS_CI_UPPER_BOUND,DTP3_SAMPLE_AVERAGE,DTP3_CI_LOWER_BOUND,DTP3_CI_UPPER_BOUND
CASCADES,NMTk6usvgPW,DS MANGODARA,SxaubWVirda,294201,1842,2392,1842,541,36.6,6,0.2631474733352661,78,129.8,9,14,0.8617385029792786,0.8454082012176514,0.9775869250297546,0.333333333333333,0.769313555300862,0.734800734613583,0.803826375988141,0.922990499366202,0.86835222207254,0.977628776659864
HAUTS BASSINS,x35OtBOWemw,DS LENA,TGriPmnIAHt,86118,575,898.5,575,539,25.9,7.000000000000001,0.23150834441184998,61,105,9,14,0.94303131103515625,0.9181143045425415,0.9708479642868042,0.666666666666667,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
CENTRE NORD,CrqTIkTFSWU,DS BARSALOGHO,TPgpGxUBU9y,221772,168,242,168,165.5,34.8,11,0.24909186363220215,59,109.9,7,12,0.772170901298523,0.7670592665672302,0.9843640327453613,1,0.618635435014211,0.580281931023312,0.65698893900511,0.844919640178013,0.784703975126819,0.905135305229208
CENTRE,WXDW5h0TFmT,DS NONGR MASSOM,TREK9HkatVq,373623,3462.5,5092,3438.5,316,14.2,5,0.19314762949943542,39,69,9,12,0.8659704029560089,0.837175041437149,0.9643048346042633,0.333333333333333,0.669684305731734,0.651168767287305,0.688199844176163,0.923586435846235,0.89838919141746,0.94878368027501
CENTRE EST,C9M7mlhBZcI,DS ZABRE,TTSmaRnHa82,195981,1407,1743,1387,684,30.1,11,0.25006742030382156,58,96.1,9,13,0.8460605144500732,0.8112413287162781,0.957768440246582,1,0.644578761252224,0.614068211445881,0.675089311058567,0.916472421859676,0.88654407819158,0.946400765527772
CENTRE SUD,uaydHJWFFCV,DS PO,TTdoICj6qbX,218839,597.5,820,597.5,590.5,31.3,15,0.29103341698646545,52,89.1,9,13,0.8948387205600739,0.8745541274547577,0.9765521585941315,1,0.755167617563073,0.722810001133892,0.787525233992254,0.979748601683856,0.962779141722954,0.996718061644757
CENTRE NORD,CrqTIkTFSWU,DS BOULSA,WVEJjdJ2S15,266437,374,539.5,370,332,27.5,11,0.2764115631580353,59,109.9,8,13,0.8636268377304077,0.8714659810066223,0.9987905025482178,1,0.618635435014211,0.580281931023312,0.65698893900511,0.844919640178013,0.784703975126819,0.905135305229208
BOUCLE DU MOUHOUN,awG7snlrjVy,DS SOLENZO,XfC8RKeUvO4,390016,748.5,1251.5,748.5,318,25.7,11,0.2197655737400055,51,103.7,9,14,0.920630544424057,0.8899824321269989,0.9634537696838379,0.666666666666667,0.768060578391635,0.73670395760432,0.799417199178951,0.816604990877603,0.727147037073901,0.906062944681305
SAHEL,Oh2EALVR2Pa,DS DJIBO,Xj0D2QNeFkp,392340,226.5,315.5,226.5,120,39.8,28.999999999999996,0.1977885589003563,98,146.4,7,12,0.7685852348804474,0.7433566451072693,0.9568256735801697,1,0.559891201581442,0.477356877731092,0.642425525431793,0.715243102020974,0.566940840081579,0.86354536396037
CENTRE SUD,uaydHJWFFCV,DS MANGA,YBuV59UFmlo,349793,1137,1561.5,1135.5,696.5,28.7,15,0.261003702878952,52,89.1,9,13,0.9053012132644653,0.8990185856819153,0.9905655384063721,1,0.755167617563073,0.722810001133892,0.787525233992254,0.979748601683856,0.962779141722954,0.996718061644757
